starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol
"2017-08-20 21:40:00-07",3.86,68.05,63,5.71,67.49,73,5.07,64.13,63
"2017-08-20 21:45:00-07",4.55,66.13,62,5.55,65.52,62,3.91,63.91,43
"2017-08-20 21:50:00-07",4.86,66.41,78,4.07,65.92,66,4.93,61.08,52
"2017-08-20 21:55:00-07",3.55,66.69,52,5.18,65.56,63,2.09,57.95,21
"2017-08-20 22:00:00-07",5.57,68.11,91,5.43,67.1,83,5.71,62.28,58
"2017-08-20 22:05:00-07",3.91,66.44,54,4.82,67.23,61,6.36,63.39,41
"2017-08-20 22:10:00-07",5.71,67.04,89,5.86,66.51,71,5.14,55.36,66
"2017-08-20 22:15:00-07",3,68.51,41,4,68.63,49,5.73,64.87,46
"2017-08-20 22:20:00-07",4.21,67.47,74,6.93,65.59,86,5.79,62.08,50
"2017-08-20 22:25:00-07",5.27,65.76,66,5.82,64.88,57,7.09,61.67,42
"2017-08-20 22:30:00-07",3.64,68.77,57,4.64,67.49,67,3.57,62.41,37
"2017-08-20 22:35:00-07",1.27,69.16,25,3,68.37,43,2.73,66.42,36
"2017-08-20 22:40:00-07",2.71,66.74,54,4.57,68,59,4.14,65.52,52
"2017-08-20 22:45:00-07",2.27,69.18,34,4.27,67.96,51,3.36,64.44,32
"2017-08-20 22:50:00-07",3.57,66.79,68,4.79,67,72,5.29,60.42,57
"2017-08-20 22:55:00-07",2.73,69.79,43,3.82,69.47,47,7,62.2,41
"2017-08-20 23:00:00-07",1,65.81,21,3.64,66.53,59,3.64,61.72,36
"2017-08-20 23:05:00-07",0.73,68.63,16,3.91,67.29,42,4.64,51.53,30
"2017-08-20 23:10:00-07",2.07,67.55,42,3.07,66.58,50,2.29,61.87,39
"2017-08-20 23:15:00-07",2.91,66.69,39,3.73,68.89,46,2.91,64.77,26
"2017-08-20 23:20:00-07",1.5,69.25,28,2.14,67.05,37,2.86,65.67,27
"2017-08-20 23:25:00-07",4.64,68.52,62,5.91,64.54,61,5.09,65.26,38
"2017-08-20 23:30:00-07",0.63,68.82,11,2.75,68.75,24,1.38,66,14
"2017-08-20 23:35:00-07",1.27,67.71,24,3.91,67.75,40,3.45,62.57,35
"2017-08-20 23:40:00-07",2.21,69.25,40,4.43,68.56,68,1.43,64.5,26
"2017-08-20 23:45:00-07",1.91,69.93,29,3.91,68.04,54,4.64,60.63,32
"2017-08-20 23:50:00-07",1.21,68.17,29,3.43,66.94,51,1.93,67.7,33
"2017-08-20 23:55:00-07",3,65.93,40,4.91,64.82,55,3.09,62.84,31
"2017-08-21 00:00:00-07",2.14,65.3,43,4.21,69.58,65,2.64,59.32,31
